name,imageUrl,url,marketPrice,extNumber
Bartolomeo,https://tcgplayer-cdn.tcgplayer.com/product/545815_200w.jpg,https://cpt.tcgcsv.com/kln6,0.14,OP07-031,1000
Fisher Tiger,https://tcgplayer-cdn.tcgplayer.com/product/545816_200w.jpg,https://cpt.tcgcsv.com/lln6,0.11,OP07-032,1000
Monkey.D.Luffy (033),https://tcgplayer-cdn.tcgplayer.com/product/545817_200w.jpg,https://cpt.tcgcsv.com/mln6,0.1,OP07-033,1000
Roronoa Zoro (034),https://tcgplayer-cdn.tcgplayer.com/product/545818_200w.jpg,https://cpt.tcgcsv.com/nln6,0.12,OP07-034,1000
Karmic Punishment,https://tcgplayer-cdn.tcgplayer.com/product/545819_200w.jpg,https://cpt.tcgcsv.com/pln6,0.03,OP07-035,
Demonic Aura Nine-Sword Style Asura Demon Nine Flash,https://tcgplayer-cdn.tcgplayer.com/product/545820_200w.jpg,https://cpt.tcgcsv.com/qln6,0.22,OP07-036,
More Pizza!!,https://tcgplayer-cdn.tcgplayer.com/product/545821_200w.jpg,https://cpt.tcgcsv.com/rln6,0.09,OP07-037,
Boa Hancock (038),https://tcgplayer-cdn.tcgplayer.com/product/545822_200w.jpg,https://cpt.tcgcsv.com/sln6,0.16,OP07-038,
Boa Hancock (038) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545823_200w.jpg,https://cpt.tcgcsv.com/tln6,69.36,OP07-038,
Edward Weevil,https://tcgplayer-cdn.tcgplayer.com/product/545824_200w.jpg,https://cpt.tcgcsv.com/vln6,0.05,OP07-039,1000
Crocodile,https://tcgplayer-cdn.tcgplayer.com/product/545825_200w.jpg,https://cpt.tcgcsv.com/wln6,0.85,OP07-040,2000
Gloriosa (Grandma Nyon),https://tcgplayer-cdn.tcgplayer.com/product/545826_200w.jpg,https://cpt.tcgcsv.com/xln6,0.14,OP07-041,1000
Gecko Moria (042),https://tcgplayer-cdn.tcgplayer.com/product/545827_200w.jpg,https://cpt.tcgcsv.com/zln6,0.04,OP07-042,
Salome,https://tcgplayer-cdn.tcgplayer.com/product/545828_200w.jpg,https://cpt.tcgcsv.com/Bln6,0.06,OP07-043,1000
Dracule Mihawk,https://tcgplayer-cdn.tcgplayer.com/product/545829_200w.jpg,https://cpt.tcgcsv.com/Cln6,0.06,OP07-044,
Jinbe (045),https://tcgplayer-cdn.tcgplayer.com/product/545830_200w.jpg,https://cpt.tcgcsv.com/Dln6,6.75,OP07-045,1000
Jinbe (045) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545831_200w.jpg,https://cpt.tcgcsv.com/Fln6,19.27,OP07-045,1000
Sengoku,https://tcgplayer-cdn.tcgplayer.com/product/545832_200w.jpg,https://cpt.tcgcsv.com/Gln6,1.55,OP07-046,1000
Sengoku (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545833_200w.jpg,https://cpt.tcgcsv.com/Hln6,9.95,OP07-046,1000
Trafalgar Law (047),https://tcgplayer-cdn.tcgplayer.com/product/545834_200w.jpg,https://cpt.tcgcsv.com/Jln6,0.27,OP07-047,2000
Trafalgar Law (047) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545835_200w.jpg,https://cpt.tcgcsv.com/Kln6,6.49,OP07-047,2000
Donquixote Doflamingo,https://tcgplayer-cdn.tcgplayer.com/product/545836_200w.jpg,https://cpt.tcgcsv.com/Lln6,0.09,OP07-048,
Buckin,https://tcgplayer-cdn.tcgplayer.com/product/545837_200w.jpg,https://cpt.tcgcsv.com/Mln6,0.04,OP07-049,
Boa Sandersonia,https://tcgplayer-cdn.tcgplayer.com/product/545838_200w.jpg,https://cpt.tcgcsv.com/Nln6,0.07,OP07-050,2000
Boa Hancock (051),https://tcgplayer-cdn.tcgplayer.com/product/545839_200w.jpg,https://cpt.tcgcsv.com/Pln6,0.75,OP07-051,
Boa Hancock (051) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545840_200w.jpg,https://cpt.tcgcsv.com/Qln6,17.36,OP07-051,
Boa Hancock (051) (Parallel) (Manga),https://tcgplayer-cdn.tcgplayer.com/product/545841_200w.jpg,https://cpt.tcgcsv.com/Rln6,484.39,OP07-051,
Boa Marigold,https://tcgplayer-cdn.tcgplayer.com/product/545842_200w.jpg,https://cpt.tcgcsv.com/Sln6,0.05,OP07-052,1000
Portgas.D.Ace (053),https://tcgplayer-cdn.tcgplayer.com/product/545843_200w.jpg,https://cpt.tcgcsv.com/Tln6,0.16,OP07-053,1000
Marguerite,https://tcgplayer-cdn.tcgplayer.com/product/545844_200w.jpg,https://cpt.tcgcsv.com/Vln6,0.24,OP07-054,
Snake Dance,https://tcgplayer-cdn.tcgplayer.com/product/545845_200w.jpg,https://cpt.tcgcsv.com/Wln6,0.09,OP07-055,
Slave Arrow,https://tcgplayer-cdn.tcgplayer.com/product/545846_200w.jpg,https://cpt.tcgcsv.com/Xln6,0.11,OP07-056,
Perfume Femur,https://tcgplayer-cdn.tcgplayer.com/product/545847_200w.jpg,https://cpt.tcgcsv.com/Zln6,0.5,OP07-057,
Island of Women,https://tcgplayer-cdn.tcgplayer.com/product/545848_200w.jpg,https://cpt.tcgcsv.com/-ln6,0.06,OP07-058,
